City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,hirara,24.8,125.2833,302.07,89,100,9.26,JP,1690412220
239,butjadingen,53.5472,8.335,287.18,89,12,5.36,DE,1690412357
240,tralee,52.2704,-9.7026,289.31,98,100,3.81,IE,1690412357
241,margate,51.3813,1.3862,289.43,94,100,4.92,GB,1690412357
242,biankouma,7.7391,-7.6138,294.25,98,30,1.37,CI,1690412358
243,shingu,33.7333,135.9833,302.78,68,12,1.15,JP,1690412358
244,khanty-mansiysk,61.0042,69.0019,289.21,94,0,3.13,RU,1690412358
245,inari,68.906,27.0288,285.26,92,59,0.79,FI,1690412358
246,damavand,35.7178,52.065,295.99,38,99,2.61,IR,1690412359
247,hadibu,12.65,54.0333,298.32,81,31,10.24,YE,1690412239
248,luwingu,-10.2621,29.9271,284.65,65,20,1.97,ZM,1690412359
249,buka,40.8108,69.1986,300.01,17,0,3.51,UZ,1690412359
250,katpur,21.05,71.7833,299.97,86,100,6.82,IN,1690412359
251,swiebodzin,52.2475,15.5336,285.75,68,45,3.07,PL,1690412360
252,vadso,70.0744,29.7487,283.24,93,100,0.0,NO,1690412360
253,yayva,59.3303,57.2641,284.92,94,6,1.04,RU,1690412360
254,wailua homesteads,22.0669,-159.378,303.59,78,75,6.17,US,1690412200
255,afaahiti,-17.75,-149.2833,298.74,86,55,3.79,PF,1690412360
256,oodweyne,9.4092,45.064,296.36,51,11,8.82,SO,1690412361
257,kukawa,12.9234,13.5606,303.84,42,88,3.19,NG,1690412361
258,quirinopolis,-18.4483,-50.4517,299.82,29,43,1.27,BR,1690412361
259,tibiri,13.5627,7.0485,305.82,44,49,3.31,NE,1690412361
260,ringkobing,56.0901,8.244,287.05,65,99,8.36,DK,1690412361
261,shahrud,36.4182,54.9763,295.25,62,46,3.66,IR,1690412361
262,chulakkurgan,43.765,69.1814,301.23,32,0,4.47,KZ,1690412361
263,kavaratti,10.5669,72.642,300.8,76,100,6.51,IN,1690412362
264,vernon,50.2581,-119.2691,299.89,29,41,2.68,CA,1690412362
265,yaren,-0.5472,166.916,301.44,77,98,4.38,NR,1690412362
266,akhmim,26.5622,31.745,307.26,18,94,4.36,EG,1690412362
267,tres palos,18.1833,-101.6167,303.15,59,87,1.4,MX,1690412362
268,lusambo,-4.9667,23.45,295.02,34,38,0.97,CD,1690412362
269,mount gambier,-37.8333,140.7667,281.95,70,2,4.82,AU,1690412362
270,nova sintra,14.8667,-24.7167,296.01,87,53,6.06,CV,1690412363
271,bengkulu,-3.8004,102.2655,296.95,91,75,2.37,ID,1690412363
272,greymouth,-42.4667,171.2,281.92,69,95,8.3,NZ,1690412200
273,myitkyina,25.3833,97.4,297.17,99,99,0.15,MM,1690412363
274,el calafate,-50.3408,-72.2768,269.54,74,81,0.7,AR,1690412363
275,palmer,42.1584,-72.3287,301.93,57,40,6.17,US,1690412363
276,ballina,-28.8667,153.5667,286.92,61,62,1.37,AU,1690412364
277,kolonia town,6.964,158.206,303.21,79,40,2.06,FM,1690412364
278,santo antonio,-6.3106,-35.4789,295.23,91,7,4.27,BR,1690412364
279,bogale,16.2833,95.4,298.5,93,51,1.79,MM,1690412364
280,belzyce,51.1741,22.2803,286.09,97,100,6.89,PL,1690412364
281,saint-joseph,-21.3667,55.6167,292.36,84,47,4.42,RE,1690412364
282,markovo,57.3206,107.0881,290.93,94,98,0.92,RU,1690412365
283,arar,30.9753,41.0381,306.16,10,0,4.63,SA,1690412365
284,bardai,11.65,7.2333,297.65,79,93,4.97,NG,1690412365
285,pamandzi,-12.7967,45.2794,298.03,88,5,5.14,YT,1690412365
286,tobol'sk,58.2,68.2667,287.62,84,50,2.51,RU,1690412365
287,santa elena de uairen,4.6167,-61.1333,293.52,95,97,0.86,VE,1690412329
288,valkeakoski,61.2642,24.0312,289.5,79,100,2.91,FI,1690412365
289,mansa,29.9833,75.3833,301.73,79,92,3.07,IN,1690412366
290,moab,38.5733,-109.5498,312.93,15,73,14.29,US,1690412332
291,carlsbad,33.1581,-117.3506,314.65,57,0,5.66,US,1690412366
292,selfoss,63.9331,-20.9971,284.84,78,100,1.49,IS,1690412271
293,idfu,24.9803,32.8747,308.46,12,100,3.04,EG,1690412366
294,juneau,58.3019,-134.4197,290.15,100,100,3.09,US,1690412366
295,zahedan,29.4963,60.8629,300.1,47,0,3.09,IR,1690412367
296,kerikeri,-35.2268,173.9474,285.88,92,95,0.45,NZ,1690412367
297,yeppoon,-23.1333,150.7333,289.03,80,80,6.38,AU,1690412367
298,san-pedro,4.7485,-6.6363,297.17,94,47,2.23,CI,1690412367
299,flin flon,54.7682,-101.865,284.06,93,100,10.8,CA,1690412367
300,haiku-pauwela,20.9219,-156.3051,304.16,60,40,11.32,US,1690412368
301,whitehorse,60.7161,-135.0538,295.58,53,75,2.06,CA,1690412368
302,dryden,49.7833,-92.7503,301.31,57,40,1.03,CA,1690412368
303,souillac,-20.5167,57.5167,292.36,94,20,1.54,MU,1690412368
304,antonina,-25.4286,-48.7119,298.97,78,93,1.85,BR,1690412368
305,touros,-5.1989,-35.4608,297.93,84,8,6.61,BR,1690412369
306,porto velho,-8.7619,-63.9039,300.18,69,0,0.51,BR,1690412236
307,bubaque,11.2833,-15.8333,300.73,81,90,5.55,GW,1690412370
308,sparti,37.0733,22.4297,302.57,45,10,2.64,GR,1690412370
309,vilyuysk,63.7553,121.6247,289.85,50,41,2.96,RU,1690412302
310,boa vista,2.8197,-60.6733,299.14,78,40,1.03,BR,1690412245
311,mineiros,-17.5694,-52.5511,296.37,35,15,1.25,BR,1690412371
312,sinabang,2.4803,96.3801,299.46,85,100,0.93,ID,1690412371
313,ketchikan,55.3422,-131.6461,291.41,72,100,4.63,US,1690412204
314,remire-montjoly,4.9167,-52.2667,299.17,94,40,0.51,GF,1690412371
315,necochea,-38.5473,-58.7368,281.82,79,75,7.8,AR,1690412372
316,bovalino,38.149,16.174,299.34,62,3,5.78,IT,1690412372
317,mwaro,-3.5,29.6667,286.03,43,13,2.09,BI,1690412372
318,constantia,44.1833,28.65,296.53,79,34,6.82,RO,1690412372
319,ardakan,32.31,54.0175,305.34,11,9,1.38,IR,1690412373
